fuente_nombre,nombre,categoria,fecha_inicio,hora_inicio,fecha_termino,lugar,comuna,precio_min,link_evento
Municipalidad de Vitacura,Cuentacuentos en la Biblioteca,,2026-09-02,17:00:00,,"Biblioteca, Av. San Josemaría Escrivá de Balaguer 6420",Vitacura,0,https://vitacura.cl/actividad/cuentacuentos-en-la-biblioteca-52/
Passline,JapoñolKai Santiago (+18),,2026-09-02,19:00:00,,Bar el Bosque,Providencia,,https://www.passline.com/eventos/japonolkai-santiago
Universidad Adolfo Ibanez - Eventos,Lanzamiento Board UAI,,2026-09-02,19:00:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/negocios/lanzamiento-board-uai
Passline,LA TRANSA PRESENTA: LANZAMIENTO NUEVO SINGLE - CAMINO AL NUEVO DISCO,,2026-09-02,19:30:00,,Teatro fiebre,Providencia,5000,https://www.passline.com/eventos/la-transa-presenta-lanzamiento-nuevo-single-camino-al-nuevo-disco
Passline,Castillo Ilabaca en Centro Arte Alameda,,2026-09-02,20:00:00,,CENTRO ARTE ALAMEDA,Santiago,15000,https://www.passline.com/eventos/castillo-ilabaca-en-centro-arte-alameda
Passline,Un Son Para Chile - Música que trasciende,,2026-09-02,20:00:00,,Centro Cultural Ceina,Santiago,,https://www.passline.com/eventos/un-son-para-chile
Universidad Adolfo Ibanez - Eventos,"Lanzamiento del libro ""Valparaíso, puerto de periódicos""",,2026-09-03,17:30:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/artesliberales/lanzamiento-del-libro-valparaiso-puerto-de-periodicos
Centro de Estudios Públicos (CEP),Magallanes V: concierto audiovisual,música,2026-09-03,18:00:00,,"Auditorio CEP, Monseñor Sótero Sanz 162",Providencia,0,https://www.cepchile.cl/eventos/magallanes-v-concierto-audiovisual/
Passline,Para vivir. El implacable tiempo de Pablo Milanés / Centro Arte Alameda,,2026-09-03,18:45:00,,Centro Arte Alameda,Santiago,2500,https://www.passline.com/eventos/para-vivir-el-implacable-tiempo-de-pablo-milanes-centro-arte-alameda
Museo de la Memoria y los Derechos Humanos,El niño de arena - Ciclo de Teatro,teatro,2026-09-03,19:00:00,2026-09-04,Auditorio MMDH,Santiago,0,https://mmdh.cl/cartelera/el-nino-de-arena-c-iclo-de-teatro
Passline,El Show de Soy Kleiii,,2026-09-03,19:00:00,,Centro Cultural Ceina,Santiago,,https://www.passline.com/eventos/el-show-de-soy-kleiii
Passline,LUNA EN LESBOS EDICIÓN ESPECIAL +38 a 50 años. (+38),,2026-09-03,19:00:00,,Cabaret Piraña,Recoleta,10000,https://www.passline.com/eventos/luna-en-lesbos-edicion-especial-38-a-50-anos
Passline,Rock Nacional 2,,2026-09-03,19:00:00,,Sala RBX,Ñuñoa,7000,https://www.passline.com/eventos/rock-nacional-2
Passline,"Melancolía - Trepidar, Buen dia Abril y Autodefensa en vivo (+18)",,2026-09-03,19:30:00,,Bar Estudio Oculto,Ñuñoa,,https://www.passline.com/eventos/melancolia-trepidar-buen-dia-abril-y-autodefensa-en-vivo
Passline,BIENVENIDO SEPTIEMBRE JUNTO A LOS TRICOLORES (+18),,2026-09-03,20:00:00,,BAR VICTORIA,Pedro Aguirre Cerda,5000,https://www.passline.com/eventos/bienvenido-septiembre-junto-a-los-tricolores
Passline,ENTRE COMEDIA - Un Show Extravagante,,2026-09-03,20:00:00,,Casa Irarrazaval,Ñuñoa,3000,https://www.passline.com/eventos/entre-comedia-un-show-extravagante
Passline,COLDPLAY • TRIBUTO UNIVERSE (+18),,2026-09-03,20:00:00,,CLUB AMANDA,Vitacura,10000,https://www.passline.com/eventos/coldplay-tributo-universe-545142
Passline,Héctor Pavez en Cafetería Popular 2,,2026-09-03,20:00:00,,Cafetería Popular,Santiago,7000,https://www.passline.com/eventos/hector-pavez-en-cafeteria-popular-2
Passline,Lanzamiento The Orbitals,,2026-09-03,20:00:00,,Kross Bar Laguna Mall Sport,Las Condes,9000,https://www.passline.com/eventos/lanzamiento-the-orbitals
Passline,CASAPARLANTE: FiestaParlante! (+18),,2026-09-03,20:00:00,,Alto San Francisco,Santiago,35000,https://www.passline.com/eventos/casaparlante-fiestaparlante
Passline,HieloNegro & Sinasilo en Mibar El lado oscuro del Rock (+18),,2026-09-03,21:00:00,,Mibar,Providencia,7000,https://www.passline.com/eventos/hielonegro-sinasilo-en-mibar-el-lado-oscuro-delnrick
Passline,Inti Illimani en tu Barrio - Fiebre Bar,,2026-09-03,21:00:00,,Bar Teatro Fiebre,Providencia,25000,https://www.passline.com/eventos/inti-illimani-en-tu-barrio-fiebre-bar
Passline,Neociclo Redroom XXI (+18),,2026-09-03,21:30:00,,House of rock and blues,Ñuñoa,5000,https://www.passline.com/eventos/neociclo-redroom-xx
Passline,🇨🇱 PRE FIESTAS PATRIAS 🇨🇱 - JUEVES 3 SEP - TEATRO ALICIA 🌴- KINKI X NYX 💥 (+18),,2026-09-03,22:00:00,,Teatro Alicia,Lo Barnechea,12000,https://www.passline.com/eventos/pre-fiestas-patrias-jueves-3-sep-teatro-alicia-kinki-x-nyx
Passline,CHEFAYISSI & KAROLECAROS: en un Sailor Stand Up (+18),,2026-09-03,22:00:00,,Teatro&Bar Happy People,Providencia,4000,https://www.passline.com/eventos/chefayissi-karolecaros-en-un-sailor-stand-up
Passline,🇨🇱 PRE FIESTAS PATRIAS 🇨🇱 - TEATRO ALICIA / KINKI / NYX (+19),,2026-09-03,22:00:00,,Teatro Alicia,Lo Barnechea,12000,https://www.passline.com/eventos/pre-fiestas-patrias-teatro-alicia-kinki-nyx
Passline,Volver a La Ley - Sesiones 88/90 en Ruta 78,,2026-09-03,22:00:00,,BAR RUTA 78,Puente Alto,20000,https://www.passline.com/eventos/volver-a-la-ley-sesiones-8890-en-ruta-78
Passline,SAD RAVE 020 • BRUTALISMUS 3000 EDIT (+17),,2026-09-03,23:30:00,,Blondie,Santiago,3000,https://www.passline.com/eventos/sad-rave-020-brutalismus-3000-edit
Universidad Adolfo Ibanez - Eventos,Conferencia sobre justicia centrada en las personas y acceso a la justicia en América Latina 2026,,2026-09-04,09:00:00,,Campus Pdte. Errázuriz,,,https://www.uai.cl/eventos/derecho/conferencia-sobre-justicia-centrada-en-las-personas-y-acceso-a-la-justicia-en-america-latina-2026
Passline,"Violeta, Retazos de una Parra - Cía Pajaro Azul",,2026-09-04,17:00:00,,Centro Cultural Ceina,Santiago,3000,https://www.passline.com/eventos/violeta-retazos-de-una-parra-cia-pajaro-azul
Passline,"Mal Gusto, Stand Up Comedy",,2026-09-04,19:00:00,,Palermo Teatro Bar,Providencia,22000,https://www.passline.com/eventos/mal-gusto-stand-up-comedy
Passline,Alicia en el Circo de las Maravillas,,2026-09-04,19:30:00,,Carpa Extraordinario Circo,La Florida,,https://www.passline.com/eventos/alicia-en-el-circo-de-las-maravillas-546201
Passline,POLY DÍAZ | Stand Up Comedy - 1ra Función 04/08,,2026-09-04,19:30:00,,CLUB SAN MIGUEL,San Miguel,23000,https://www.passline.com/eventos/poly-diaz-stand-up-comedy-1ra-funcion-0408-538656
Passline,ES HORA DE HABLAR,,2026-09-04,20:00:00,,Teatro fiebre,Providencia,,https://www.passline.com/eventos/es-hora-de-hablar
Passline,Las Tinajas Live Fest aniversario 2026 (+18),,2026-09-04,20:00:00,,Restaurant Las Tinajas,La Pintana,10000,https://www.passline.com/eventos/las-tinajas-live-fest-aniversario-2026
Passline,Tocata Jamás - La Octava Dimensión - Wastarantino (Show de stand-up),,2026-09-04,20:00:00,,La Juguera,Santiago,5000,https://www.passline.com/eventos/tocata-jamas-la-octava-dimension-wastarantino-show-de-standup
Passline,TRIBUTO OASIS EN RBX,,2026-09-04,20:00:00,,Sala RBX,Ñuñoa,8000,https://www.passline.com/eventos/tributo-oasis-en-rbx
Passline,Rockout Aniversario,,2026-09-04,20:30:00,,Bar Oxido,Recoleta,7000,https://www.passline.com/eventos/rockout-aniversario
Passline,Aura ★ VIERNES 04 SEPTIEMBRE ★ (+24),,2026-09-04,20:30:00,,Aura club,Vitacura,8000,https://www.passline.com/eventos/aura-viernes-04-septiembre
Passline,Leyendas - Viernes 4 Septiembre - Surreal,,2026-09-04,20:30:00,,SURREAL,Lo Barnechea,12000,https://www.passline.com/eventos/leyendas-viernes-4-septiembre-surreal
Passline,Brain Damage - Tributo a PinkFloyd en La Florida,,2026-09-04,21:00:00,,Parque La Araucana,La Florida,,https://www.passline.com/eventos/brain-damage-tributo-a-pinkfloyd-en-la-florida
Passline,A.N.I.M.A.L. EN METRÓNOMO,,2026-09-04,21:00:00,,SALA METRONOMO,Recoleta,25000,https://www.passline.com/eventos/animal-en-metronomo
Passline,BOWIE THE LEGEND BY STARMAN (+18),,2026-09-04,21:00:00,,CLUB AMANDA,Vitacura,10000,https://www.passline.com/eventos/bowie-the-legend-by-starman
Passline,Release Party (+18),,2026-09-04,21:00:00,,CLUB GORDOS,Providencia,,https://www.passline.com/eventos/release-party-focus
Passline,💃🌙 ¡NOCHE MÁGICA DE SALSA Y CUMBIA! 🕺🔥,,2026-09-04,21:00:00,,EL CHANCHO CON CHALECO,Maipú,5000,https://www.passline.com/eventos/noche-magica-de-salsa-y-cumbia
Passline,PAUL GILBERT WROC,,2026-09-04,21:00:00,,Teatro Cariola,Santiago,45000,https://www.passline.com/eventos/paul-gilbert-wroc
Passline,"Feucen & la monga presentan: PERGOLAZO 2026 🎉, La FIESTA DE LA CENTRAL 👨‍🎓 - Vier 04 septiembre / Av vicuña mackenna #1895 📍 (+18)",,2026-09-04,22:00:00,,Fiesta LA MONGA,Ñuñoa,3000,https://www.passline.com/eventos/feucen-la-monga-presentan-pergolazo-2026-la-fiesta-de-la-central-vier-04-septiembre-av-vicuna-mackenna-1895
Passline,FIESTA FOTOLOG X MAISON DEL BELLAQUEO (+25),,2026-09-04,22:00:00,,Maison del bellaqueo,San Bernardo,10000,https://www.passline.com/eventos/fiesta-fotolog-x-maison-del-bellaqueo
Passline,🏳️‍🌈​ FONDA MARICUECA 🇨🇱 - VIERNES 4 DE SEPTIEMBRE - TEATRO ALICIA 🌴 (+18),,2026-09-04,22:00:00,,Teatro Alicia,Lo Barnechea,10000,https://www.passline.com/eventos/fonda-maricueca-jueves-27-agosto-teatro-alicia-18
Passline,Noche de Jazz en Fiebre Bar,,2026-09-04,22:00:00,,Teatro fiebre,Providencia,6000,https://www.passline.com/eventos/noche-de-jazz-en-fiebre-bar
Passline,Fiesta Montañita de los 90s&2000 con DJ Pelo Verde (+18),,2026-09-04,22:00:00,,Montañita Las Vizcachas,La Florida,7000,https://www.passline.com/eventos/fiesta-montanita-de-los-90s2000-con-dj-pelo-verde
Passline,ES HORA DE HABLAR | 2da. Función,,2026-09-04,22:00:00,,Teatro fiebre,Providencia,25000,https://www.passline.com/eventos/es-hora-de-hablar-2da-funcion
Passline,WOOF - HOT 2016 (+20),,2026-09-04,23:00:00,,Tom House,Santiago,8000,https://www.passline.com/eventos/woof-hot-2016
Passline,ESPHERA PRESENTA BLEX AR (+18),,2026-09-04,23:00:00,,La Feria,Providencia,15000,https://www.passline.com/eventos/esphera-presenta-blex-ar
Passline,Trainspotting 30 años - 4 Pistas de baile (+18),,2026-09-04,23:30:00,,Blondie,Santiago,10000,https://www.passline.com/eventos/trainspotting-30-anos-4-pistas-de-baile
Passline,LOWERED CLASS by StrictlyLowered 🌐,,2026-09-05,10:00:00,,Cancha club deportivo noviciado,Pudahuel,3000,https://www.passline.com/eventos/lowered-class-by-strictlylowered
Municipalidad de Vitacura,Chile Lindo 2026,,2026-09-05,11:00:00,2026-09-06,Parque Bicentenario de Vitacura,Vitacura,,https://vitacura.cl/actividad/chile-lindo-2026/
Passline,Estacionamiento Fiebre de Cumbia la Fonda,,2026-09-05,11:00:00,,Club Hipico,Santiago,15000,https://www.passline.com/eventos/estacionamiento-fiebre-de-cumbia-la-fonda
Passline,⚔️🔥 RAGNAROK FEST – ¡EL TRUENO DEL ROCK LLEGA A LA REINA! 🎸⚡🍺,,2026-09-05,11:00:00,,Aldea Encuentro,La Reina,3850,https://www.passline.com/eventos/ragnarok-fest-el-trueno-del-rock-llega-a-la-reina
Passline,Certificación en felicidad de Tal Ben Shahar,,2026-09-05,11:00:00,,Hotel Le Meridien,Santiago,540000,https://www.passline.com/eventos/certificacion-en-felicidad-de-tal-ben-shahar
Passline,MEDIEVAL PARTY & VELADAA - PALACIO ASTORECA,,2026-09-05,12:00:00,,PALACIO ASTORECA,Santiago,5000,https://www.passline.com/eventos/medieval-party-veladaa-palacio-astoreca
Passline,RAMONES DAY CHILE N3 2026,,2026-09-05,13:00:00,,HONESTO MIKE VITACURA,Vitacura,,https://www.passline.com/eventos/ramones-day-chile-n3-2026
Passline,🍷 Feria Día Nacional del Vino D-COPAS | Patio Bellavista,,2026-09-05,13:00:00,,"Patio Bellavista en Providencia, Santiago",Providencia,15000,https://www.passline.com/eventos/feria-dia-nacional-del-vino-dcopas-patio-bellavista
